id,target,text,negativity,compound,sentiment_label,categoria
10689,0,wreck? wreck wreck wreck wreck wreck wreck wreck wreck wreck wreck wreck wreck?,1.0,-0.9883,Negativo,No desastre
9172,1,"@Abu_Baraa1 Suicide bomber targets Saudi mosque at least 13 dead - Suicide bomber targets Saudi mosque at least 13 dead
This is ridiculous",0.542,-0.9686,Negativo,Desastre real
9166,1,Suicide bomber kills 15 in Saudi security site mosque - A suicide bomber killed at least 15 people in an attack on... http://t.co/FY0r9o7Xsl,0.536,-0.9623,Negativo,Desastre real
9137,1,? 19th Day Since 17-Jul-2015 -- Nigeria: Suicide Bomb Attacks Killed 64 People; Blamed: Boko Haram [L.A. Times/AP] | http://t.co/O2cdKpSDfp,0.583,-0.9595,Negativo,Desastre real
9159,1,"17 killed in SÛªArabia mosque suicide bombing

A suicide bomber attacked a mosque in Aseer south-western Saudi... http://t.co/pMTQhiVsXX",0.579,-0.9552,Negativo,Desastre real
4213,0,"at the lake 
*sees a dead fish*
me: poor little guy i wonder what happened
ashley: idk maybe it drowned
  wtf ????????",0.538,-0.9549,Negativo,No desastre
682,1,illegal alien released by Obama/DHS 4 times Charged With Rape &amp; Murder of Santa Maria CA Woman Had Prior Offenses  http://t.co/MqP4hF9GpO,0.536,-0.9538,Negativo,Desastre real
2225,1,Bomb Crash Loot Riot Emergency Pipe Bomb Nuclear Chemical Spill Gas Ricin Leak Violence Drugs Cartel Cocaine Marijuana Heroine Kidnap Bust,0.566,-0.9524,Negativo,Desastre real
9765,1,Bomb head? Explosive decisions dat produced more dead children than dead bodies trapped tween buildings on that day in September there,0.481,-0.95,Negativo,Desastre real
9940,1,@cspan #Prez. Mr. President you are the biggest terrorist and trouble maker in the world. You create terrorist you sponsor terrorist.,0.481,-0.9493,Negativo,Desastre real
