id,target,text,positivity,compound,sentiment_label,categoria
10028,0,"Check out 'Want Twister Tickets AND A VIP EXPERIENCE To See SHANIA? CLICK HERE:' at  http://t.co/3GEROQ49o1
I would Love Love Love!! To win",0.598,0.973,Positivo,No desastre
9345,0,@thoutaylorbrown I feel like accidents are just drawn to you but I'm happy you've survived all of them. Hope you're okay!!!,0.539,0.9564,Positivo,No desastre
8989,1,TodayÛªs storm will pass; let tomorrowÛªs light greet you with a kiss. Bask in this loving warmth; let your soul return to bliss.,0.491,0.9471,Positivo,Desastre real
4541,0,@batfanuk we enjoyed the show today. Great fun. The emergency non evacuation was interesting. Have a great run.,0.563,0.9423,Positivo,No desastre
4844,0,@batfanuk we enjoyed the show today. Great fun. The emergency non evacuation was interesting. Have a great run.,0.563,0.9423,Positivo,No desastre
9710,0,Maaaaan I love Love Without Tragedy by @rihanna I wish she made the whole song,0.619,0.9394,Positivo,No desastre
8994,0,Free Ebay Sniping RT? http://t.co/B231Ul1O1K Lumbar Extender Back Stretcher Excellent Condition!! ?Please Favorite &amp; Share,0.607,0.9376,Positivo,No desastre
3525,1,@Raishimi33 :) well I think that sounds like a fine plan where little derailment is possible so I applaud you :),0.575,0.9356,Positivo,Desastre real
1453,0,I'm not a Drake fan but I enjoy seeing him body-bagging people. Great marketing lol.,0.566,0.9345,Positivo,No desastre
9386,0,@duchovbutt @Starbuck_Scully @MadMakNY @davidduchovny yeah we survived 9 seasons and 2 movies. Let's hope for the good. There's hope ??????,0.538,0.9344,Positivo,No desastre
